0,-100
1,-330
2,-260
3,-115
4,-104
5,-178
6,-103
7,-391
8,-171
9,-352
10,-154
11,-139
12,-161
13,-104
14,-209
15,-123
16,-171
17,-102
18,-113
19,-123
20,-123
21,-201
22,-62
23,-203
24,-139
25,-116
26,-143
27,-71
28,-349
29,-316
30,-130
31,-137
32,-121
33,-189
34,-681
35,-306
36,-168
37,-296
38,-287
39,-143
40,-84
41,-126
42,-167
43,-108
44,-129
45,-158
46,-191
47,-112
48,-199
49,-268
50,-61
51,-95
52,-259
53,-137
54,-505
55,-496
56,-229
57,-154
58,-515
59,-124
60,-178
61,-34
62,-80
63,-98
64,-62
65,-115
66,-234
67,-109
68,-85
69,-149
70,-109
71,-62
72,-115
73,-326
74,-100
75,-345
76,-73
77,-118
78,-73
79,-71
80,-69
81,-94
82,-170
83,-105
84,-100
85,-70
86,-128
87,-209
88,-55
89,-149
90,-71
91,-62
92,-209
93,-30
94,-156
95,-46
96,-71
97,-53
98,-90
99,-159
100,-132
101,-51
102,-178
103,-88
104,-35
105,-75
106,-113
107,-79
108,-110
109,-101
110,-100
111,-147
112,-109
113,-120
114,-67
115,-60
116,-133
117,-37
118,-99
119,-171
120,-40
121,-76
122,-64
123,-69
124,-106
125,-90
126,-68
127,-97
128,-115
129,-103
130,-29
131,-78
132,-101
133,-40
134,-69
135,-66
136,-161
137,-59
138,-37
139,-174
140,-55
141,-49
142,-25
143,-52
144,-47
145,-102
146,-77
147,-57
148,-48
149,-40
150,-30
151,-62
152,-91
153,-111
154,-43
155,-67
156,-88
157,-78
158,-111
159,-59
160,-45
161,-67
162,-65
163,-94
164,-51
165,-39
166,-148
167,-72
168,-30
169,-45
170,-78
171,-61
172,-31
173,-21
174,-54
175,-113
176,-100
177,-40
178,-67
179,-21
180,-39
181,-47
182,-42
183,-101
184,-140
185,-66
186,-36
187,-102
188,-104
189,-44
190,-69
191,-119
192,-45
193,-117
194,-72
195,-41
196,-65
197,-45
198,-53
199,-30
200,-41
201,-32
202,-110
203,-46
204,-20
205,-103
206,-128
207,-58
208,-15
209,-32
210,-46
211,-122
212,-102
213,-38
214,-53
215,-26
216,-35
217,-131
218,-41
219,-86
220,-42
221,-68
222,-35
223,-27
224,-31
225,-52
226,-37
227,-23
228,-75
229,-62
230,-38
231,-40
232,-63
233,-39
234,-59
235,-24
236,-59
237,-49
238,-59
239,-39
240,-23
241,-21
242,-81
243,-24
244,-25
245,-41
246,-52
247,-44
248,-20
249,-34
250,-20
251,-27
252,-45
253,-35
254,-131
255,-105
256,-55
257,-62
258,-40
259,-27
260,-22
261,-65
262,-49
263,-24
264,-57
265,-50
266,-102
267,-43
268,-49
269,-52
270,-35
271,-75
272,-122
273,-39
274,-52
275,-101
276,-30
277,-38
278,-31
279,-26
280,-148
281,-22
282,-41
283,-25
284,-143
285,-33
286,-54
287,-44
288,-32
289,-101
290,-27
291,-37
292,-100
293,-38
294,-17
295,-27
296,-36
297,-51
298,-86
299,-50
300,-45
301,-100
302,-29
303,-27
304,-31
305,-43
306,-25
307,-43
308,-35
309,-41
310,-24
311,-31
312,-18
313,-21
314,-30
315,-43
316,-26
317,-40
318,-52
319,-45
320,-21
321,-56
322,-33
323,-39
324,-28
325,-22
326,-21
327,-35
328,-22
329,-41
330,-41
331,-111
332,-103
333,-32
334,-28
335,-24
336,-49
337,-39
338,-22
339,-33
340,-22
341,-118
342,-28
343,-52
344,-16
345,-34
346,-16
347,-22
348,-47
349,-34
350,-29
351,-32
352,-33
353,-29
354,-19
355,-29
356,-33
357,-127
358,-21
359,-40
360,-25
361,-37
362,-17
363,-51
364,-41
365,-23
366,-25
367,-41
368,-19
369,-101
370,-114
371,-31
372,-37
373,-31
374,-111
375,-29
376,-32
377,-22
378,-79
379,-57
380,-24
381,-39
382,-102
383,-33
384,-37
385,-30
386,-103
387,-36
388,-28
389,-37
390,-28
391,-21
392,-110
393,-27
394,-100
395,-20
396,-29
397,-36
398,-27
399,-103
400,-29
401,-30
402,-23
403,-44
404,-34
405,-21
406,-27
407,-32
408,-17
409,-25
410,-19
411,-17
412,-35
413,-19
414,-34
415,-29
416,-51
417,-26
418,-25
419,-36
420,-22
421,-21
422,-30
423,-23
424,-23
425,-32
426,-15
427,-20
428,-29
429,-102
430,-27
431,-16
432,-23
